Date,SPY,AGG,EFA,MSFT,JPM,NVDA,JNJ,PG
2020-12-21,344.4032897949219,102.5418472290039,62.52946090698242,213.9836883544922,109.03828430175781,13.29560375213623,133.60134887695312,122.1973876953125
2020-12-22,343.8228759765625,102.68988800048828,62.37256622314453,215.28150939941406,107.37910461425781,13.241752624511719,133.33941650390625,121.33545684814453
2020-12-23,344.1318359375,102.62023162841797,63.043704986572266,212.4744110107422,110.37975311279297,12.973489761352539,132.65841674804688,121.14885711669922
2020-12-24,345.4705505371094,102.71600341796875,63.069854736328125,214.1375732421875,109.89434814453125,12.95803165435791,133.1211395263672,122.37506103515625
2020-12-28,348.4384460449219,102.73339080810547,63.584102630615234,216.2620849609375,110.6180191040039,12.864540100097656,133.74978637695312,123.22810363769531
2020-12-29,347.77374267578125,102.7508316040039,63.99375915527344,215.48336791992188,110.3268051147461,12.907672882080078,134.5792236328125,122.99708557128906
2020-12-30,348.2699279785156,102.81175994873047,64.08092498779297,213.10887145996094,110.63569641113281,13.109615325927734,136.24685668945312,122.41951751708984
2020-12-31,350.0393981933594,102.89006805419922,63.592830657958984,213.82025146484375,112.14485168457031,13.01911449432373,137.40806579589844,123.6368408203125
2021-01-04,345.2739562988281,102.75952911376953,63.92402648925781,209.27313232421875,111.0857925415039,13.07745361328125,136.63970947265625,122.46392822265625
2021-01-05,347.6520080566406,102.6550521850586,64.58645629882812,209.4750213623047,111.69023895263672,13.367903709411621,138.2462158203125,123.24590301513672
2021-01-06,349.73040771484375,102.15015411376953,65.32733154296875,204.04348754882812,116.93474578857422,12.579827308654785,139.54713439941406,124.54320526123047
2021-01-07,354.926513671875,102.045654296875,65.39706420898438,209.84996032714844,120.77479553222656,13.307320594787598,140.01856994628906,123.3791732788086
2021-01-08,356.9488220214844,101.92378234863281,66.00718688964844,211.12855529785156,120.90814971923828,13.240254402160645,139.73049926757812,123.32584381103516
2021-01-11,354.5427551269531,101.75839233398438,65.14429473876953,209.0808868408203,122.71260070800781,13.58405876159668,139.1455078125,122.49059295654297
2021-01-12,354.61767578125,101.84546661376953,65.44063568115234,206.61988830566406,124.64151000976562,13.447685241699219,138.06288146972656,121.77973175048828
2021-01-13,355.5726013183594,102.16754150390625,65.35348510742188,207.97535705566406,124.75707244873047,13.49455451965332,137.85336303710938,121.9663314819336
2021-01-14,354.3273620605469,101.96732330322266,65.87644958496094,204.78372192382812,125.48594665527344,13.16396427154541,140.26307678222656,120.66899871826172
2021-01-15,351.74334716796875,102.07179260253906,64.84794616699219,204.42800903320312,123.237060546875,12.824152946472168,139.95751953125,119.76266479492188
2021-01-19,354.5052185058594,102.21106719970703,65.31861877441406,208.07147216796875,122.7037124633789,12.989446640014648,142.12277221679688,118.71415710449219
2021-01-20,359.4111328125,102.21981048583984,65.76313018798828,215.66600036621094,120.86367797851562,13.329010963439941,141.7735595703125,117.23019409179688
2021-01-21,359.73876953125,102.07179260253906,65.81542205810547,216.27169799804688,119.85034942626953,13.829380989074707,141.20602416992188,117.11491394042969
2021-01-22,358.4655456542969,102.07179260253906,65.50164794921875,217.2138214111328,118.92586517333984,13.674808502197266,142.79505920410156,116.21202087402344
2021-01-25,359.8792724609375,102.33296203613281,65.42321014404297,220.6553955078125,117.44139099121094,13.61571979522705,144.91668701171875,118.21441650390625
2021-01-26,359.3174743652344,102.29814147949219,65.51908111572266,223.3471221923828,116.96141052246094,13.398319244384766,148.8455810546875,118.97430419921875
2021-01-27,350.5356750488281,102.30684661865234,64.01991271972656,223.8950958251953,113.65470123291016,12.882243156433105,146.5756072998047,114.76383972167969
2021-01-28,353.55029296875,102.2371826171875,64.4295654296875,229.69192504882812,115.65472412109375,13.015125274658203,147.69317626953125,116.5338363647461
2021-01-29,346.472412109375,102.12403106689453,63.09599304199219,222.99139404296875,114.37472534179688,12.954042434692383,142.4283447265625,114.61186981201172
2021-02-01,352.2395935058594,102.2216796875,63.8455924987793,230.38406372070312,115.21916198730469,13.200614929199219,142.0616912841797,115.29127502441406
2021-02-02,357.2203369140625,102.06473541259766,64.49059295654297,230.24948120117188,118.7658462524414,13.519482612609863,140.7869415283203,115.13034057617188
2021-02-03,357.5011901855469,101.94265747070312,64.64746856689453,233.60459899902344,120.12590026855469,13.493306159973145,140.13209533691406,115.27339172363281
2021-02-04,361.5644226074219,101.8990478515625,64.71720886230469,232.65284729003906,122.89039611816406,13.626687049865723,141.4330291748047,115.34488677978516
2021-02-05,362.9875183105469,101.76827239990234,65.11812591552734,232.83551025390625,122.65033721923828,13.553641319274902,143.58087158203125,115.82763671875
2021-02-08,365.6090393066406,101.87287139892578,65.5713882446289,233.09503173828125,124.57037353515625,14.399060249328613,143.9912109375,115.47004699707031
2021-02-09,365.36553955078125,101.91651916503906,65.92876434326172,234.34481811523438,124.0726089477539,14.22404670715332,145.16990661621094,115.02307891845703
2021-02-10,365.2064514160156,102.01240539550781,65.7021255493164,233.4315185546875,124.14369201660156,14.723665237426758,145.64137268066406,114.62079620361328
2021-02-11,365.7961730957031,101.89032745361328,66.14664459228516,235.03695678710938,123.79704284667969,15.208828926086426,144.9865264892578,114.71912384033203
2021-02-12,367.6031799316406,101.65487670898438,66.51272583007812,235.5176544189453,125.55708312988281,14.920124053955078,145.44053649902344,114.08445739746094
2021-02-16,367.28485107421875,101.17532348632812,66.99211120605469,234.27748107910156,128.57933044433594,15.28810977935791,144.1221466064453,114.35263061523438
2021-02-17,367.36920166015625,101.37586975097656,66.59989166259766,235.29885864257812,128.9793243408203,14.86502742767334,144.6373291015625,114.83535766601562
2021-02-18,365.8056335449219,101.32353210449219,66.26866912841797,234.90377807617188,129.41488647460938,14.788239479064941,144.70713806152344,115.79185485839844
2021-02-19,365.15966796875,101.00961303710938,66.4604263305664,232.18658447265625,131.57492065429688,14.885469436645508,142.29737854003906,113.6374740600586
